study,cancer_type,protein,transcript,expression
GTEX,GTEX Lung,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -3.9255, ""q1"": -9.966, ""q3"": -2.826, ""whislo"": -9.966, ""whishi"": -0.1665, ""fliers"": [], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Lung,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -3.308, ""q1"": -9.966, ""q3"": -2.09875, ""whislo"": -9.966, ""whishi"": -0.4921, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Muscle,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": 1.39, ""q1"": 0.8568, ""q3"": 1.923, ""whislo"": -0.5756, ""whishi"": 3.383, ""fliers"": [-1.149, -1.392, -0.8084, -1.026, -3.047, -1.552, 3.612, -1.056, 3.529, -9.966, -1.392, -9.966, -9.966, -0.8339, -1.318, -1.086, -0.7834, -2.466, -1.086], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Muscle,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -2.388, ""q1"": -9.966, ""q3"": -1.46025, ""whislo"": -9.966, ""whishi"": 0.1388, ""fliers"": [], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Muscle,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -3.308, ""whislo"": -9.966, ""whishi"": -0.7108, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Muscle,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -3.458, ""q1"": -9.966, ""q3"": -2.466, ""whislo"": -9.966, ""whishi"": 0.4657, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Muscle,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -2.388, ""whislo"": -9.966, ""whishi"": 1.688, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Muscle,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.171, -3.626, -3.047, -3.308, -3.308, -2.932], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Muscle,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": -0.6083000000000001, ""q1"": -9.966, ""q3"": 0.3796, ""whislo"": -9.966, ""whishi"": 2.299, ""fliers"": [], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Muscle,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.245, -2.053, -2.932, 0.2762, -0.8084, 0.5955, -1.831, -0.2845, -3.458, 0.346, -1.318, -0.4131, -1.283, -3.816, -2.466, -1.149, 0.3796, -0.9132, 0.1903, -0.1031, -2.826, -0.3201, 0.605, 0.688, -1.392, -2.548, -1.732, -0.8084, 0.3115, -1.552, -1.685, -2.315, -0.6416, -0.2159, -3.816, -1.595, -0.6193, -0.8863, -1.214, -1.214, -1.214, -3.047, -2.932, -0.5125, -0.6643, -1.149, 0.2277, -0.9686, -2.053, 0.4016, -0.8599, -1.685, 1.434, -3.171, -2.053, 1.057, -0.4521, 0.4447, -4.035, -0.9132, -0.8339, -1.283, -0.5756, -1.086, -1.117, -0.0725, -5.012, -1.938, -1.392, -2.548, -3.171, -1.47, -0.8339, -1.214], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
GTEX,GTEX Muscle,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.595, -2.114, -3.626, -3.816, -5.574, -3.171, -5.012, -4.035, -4.035, -4.293, -2.727, -4.035, -3.458, -3.816, -3.816, -2.466, -2.548, -2.932, -3.626, -1.938, -3.816, -6.506, -3.458, -3.308, -4.608, -3.308, -3.626, -3.626, -4.293, -2.826, -4.608, -3.816, -2.466, -6.506, -4.293, -4.293, -2.635, -1.831, -2.826, -3.816, -3.626, -2.727, -3.458, -3.308, -4.293, -4.608, -3.626, -3.308, -3.626, -3.816, -2.635, -3.308, -2.245, -3.047, -2.727, -4.608, -6.506, -4.035, -3.171, -2.548, -5.012, -4.293, -3.458, -2.932, -4.035, -1.685, -1.732, -0.7834, -3.458, -3.626, -4.608, -2.932, -2.388, -5.574, -4.035, -4.293, -4.035, -3.458, -3.308, -6.506, -4.035, -6.506, -2.635, -4.608, -3.308, -5.574, -3.816, -3.626, -5.012], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Muscle,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -2.932, ""q1"": -9.966, ""q3"": -1.938, ""whislo"": -9.966, ""whishi"": 0.058, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Nerve,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": 4.2305, ""q1"": 3.79275, ""q3"": 4.6259999999999994, ""whislo"": 2.874, ""whishi"": 5.694, ""fliers"": [1.561, 0.8488, 1.953, 2.473, 2.521, 2.025, 2.539, 2.514, 2.088, 2.29, 0.1648, 1.281], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Nerve,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -0.9546, ""q1"": -2.28075, ""q3"": -0.1993, ""whislo"": -5.012, ""whishi"": 2.412, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Nerve,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -3.171, ""q1"": -9.966, ""q3"": -1.952, ""whislo"": -9.966, ""whishi"": 0.0854, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Nerve,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -1.2654999999999998, ""q1"": -2.114, ""q3"": -0.6416, ""whislo"": -3.816, ""whishi"": 0.8488, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Nerve,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -0.9971, ""q1"": -2.114, ""q3"": -0.2159, ""whislo"": -2.548, ""whishi"": 1.47, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Nerve,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.171, -2.388, -2.548, -2.932, -2.727, -3.308, -3.047, -2.932, -2.727, -1.392, -2.315, -2.178, -2.826, -2.727, -2.388, -1.283, -2.053, -2.826, -1.732, -2.932, -2.548, -1.732, -1.732, -3.171, -2.727, -3.047, -3.047, -2.635, -3.171, -3.047], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Nerve,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": 1.7765, ""q1"": 0.5811000000000001, ""q3"": 2.49775, ""whislo"": -1.781, ""whishi"": 4.199, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Nerve,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-0.2498, 0.2998, -1.47, -0.6643, -1.552, 0.2998, 1.001, 0.5271, -1.056, -1.056, -1.214, -1.732, -1.283, 0.1648, 0.7832, -1.595, 0.434, 0.8805, -1.026, -0.0425, -0.4719, 0.434, -1.181, -1.086, 0.4125, -0.394, -0.9132, 1.345, 0.7999, -0.5332, -0.6416, -0.9686, -0.7588, -0.9132, -1.086, -1.248, -1.831, -0.5973, -0.1665, -1.552, 0.2277, -0.7834, -0.7346, 0.1388, -1.181, -0.3201, 0.5859, -0.7346, 0.2029, -1.026, -0.9406, -0.2328, 0.2154, -1.149, -0.2845, -1.056, -0.8084, -0.6416, -0.7834, 0.517, -1.781, 0.6699, 0.1388, -0.4131, -0.4325, -0.8863, -0.7834, 0.605], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
GTEX,GTEX Nerve,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -4.035, ""q1"": -9.966, ""q3"": -2.826, ""whislo"": -9.966, ""whishi"": -0.7834, ""fliers"": [], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Nerve,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -1.214, ""q1"": -2.178, ""q3"": -0.538475, ""whislo"": -4.608, ""whishi"": 0.9191, ""fliers"": [-9.966, -5.574, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -6.506, -5.012, -9.966, -9.966, -6.506, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Ovary,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": 2.6715, ""q1"": 2.228, ""q3"": 3.06525, ""whislo"": 1.281, ""whishi"": 4.265, ""fliers"": [0.8164, 0.8246], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Ovary,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -1.318, ""q1"": -3.0780000000000003, ""q3"": -0.348175, ""whislo"": -4.608, ""whishi"": 1.05, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Ovary,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -2.388, ""q1"": -5.3854999999999995, ""q3"": -1.7687499999999998, ""whislo"": -9.966, ""whishi"": -0.4921, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Ovary,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -2.114, ""q1"": -3.3455, ""q3"": -1.318, ""whislo"": -5.012, ""whishi"": -0.0277, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Ovary,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -1.831, ""whislo"": -9.966, ""whishi"": -0.1031, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Ovary,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.548, -3.626, -2.826, -3.047, -2.932, -2.466], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Ovary,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": 0.74925, ""q1"": -0.705175, ""q3"": 1.2135, ""whislo"": -3.047, ""whishi"": 2.47, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Ovary,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-0.5543, -1.283, -0.5973, -0.8339, -1.431, -0.2671, -0.9686, -0.8339, -0.3752, -0.7108, 1.196, -0.2671], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
GTEX,GTEX Ovary,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -3.816, ""q1"": -9.966, ""q3"": -2.9055, ""whislo"": -9.966, ""whishi"": -1.149, ""fliers"": [], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Ovary,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -2.388, ""q1"": -9.966, ""q3"": -1.248, ""whislo"": -9.966, ""whishi"": -0.0574, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Pancreas,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": 2.033, ""q1"": 1.578, ""q3"": 2.4295, ""whislo"": 0.434, ""whishi"": 3.303, ""fliers"": [-0.1665, -9.966, 0.1903, -1.149, 3.809, -0.0725, 0.2762, -9.966, -0.2159], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Pancreas,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -2.548, ""q1"": -3.626, ""q3"": -1.4505, ""whislo"": -6.506, ""whishi"": 0.3231, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Pancreas,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -4.608, ""whislo"": -9.966, ""whishi"": -1.117, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Pancreas,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -2.826, ""q1"": -3.626, ""q3"": -2.0235, ""whislo"": -4.608, ""whishi"": -0.8084, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Pancreas,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -2.548, ""whislo"": -9.966, ""whishi"": 0.6608, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Pancreas,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.626, -4.035, -3.458, -3.626, -3.047, -3.308, -3.458, -3.626, -3.626], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Pancreas,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": -0.9132, ""q1"": -9.966, ""q3"": 0.1648, ""whislo"": -9.966, ""whishi"": 1.745, ""fliers"": [], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Pancreas,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.552, -2.114, -1.214, -2.178, -1.214, -1.283, -1.552, -0.2671, -1.732, -0.6873, -0.4131, -1.639, -0.6643, -2.466], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
GTEX,GTEX Pancreas,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -4.035, ""whislo"": -9.966, ""whishi"": -0.5543, ""fliers"": [], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Pancreas,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -3.171, ""q1"": -4.608, ""q3"": -2.548, ""whislo"": -6.506, ""whishi"": -0.7588, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Pituitary,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": 1.008, ""q1"": 0.043800000000000006, ""q3"": 2.0605, ""whislo"": -1.355, ""whishi"": 4.2, ""fliers"": [-3.171, -4.608, -9.966], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Pituitary,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -3.458, ""q1"": -9.966, ""q3"": -2.2115, ""whislo"": -9.966, ""whishi"": 0.688, ""fliers"": [], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Pituitary,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -4.293, ""q1"": -9.966, ""q3"": -2.5915, ""whislo"": -9.966, ""whishi"": -1.248, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Pituitary,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -1.884, ""q1"": -3.2394999999999996, ""q3"": -1.133, ""whislo"": -5.574, ""whishi"": 0.4657, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Pituitary,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.466, -1.181, -2.466, 0.517, -1.938, -1.938, -1.781, -3.458, -2.466, -3.047, -0.3383, -2.932, -1.781, -0.4921, -2.826, -2.178, -1.149, -2.245, -2.548, -1.283, -2.635, -2.388, -0.4325, -2.388, -1.355, -1.47], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Pituitary,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.635, -3.047, -2.932, -3.626, -2.114, -3.047, -1.884], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Pituitary,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": -1.248, ""q1"": -9.966, ""q3"": 0.22754999999999997, ""whislo"": -9.966, ""whishi"": 3.566, ""fliers"": [], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Pituitary,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.056, -1.283, -1.938, -0.2671], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
GTEX,GTEX Pituitary,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -4.164, ""whislo"": -9.966, ""whishi"": 0.4016, ""fliers"": [], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Pituitary,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -1.47, ""q1"": -2.388, ""q3"": -0.8469, ""whislo"": -4.293, ""whishi"": 1.209, ""fliers"": [-5.574, -9.966, -5.012, -9.966, -9.966, -9.966, -9.966, -5.012, -9.966, -9.966, -9.966, -9.966], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Prostate,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": 3.3505000000000003, ""q1"": 2.9175, ""q3"": 3.818, ""whislo"": 2.025, ""whishi"": 4.936, ""fliers"": [1.196, 5.538, 5.17], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Prostate,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -1.733, ""q1"": -2.635, ""q3"": -0.75275, ""whislo"": -5.012, ""whishi"": 1.145, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Prostate,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -4.608, ""q1"": -9.966, ""q3"": -2.80125, ""whislo"": -9.966, ""whishi"": -1.318, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Prostate,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -1.431, ""q1"": -2.114, ""q3"": -0.7588, ""whislo"": -4.035, ""whishi"": 0.5271, ""fliers"": [-9.966, -9.966, -4.293, -4.608, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Prostate,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -2.146, ""q1"": -9.966, ""q3"": -1.141, ""whislo"": -9.966, ""whishi"": 0.7407, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Prostate,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.932, -2.315, -1.884, -2.727, -2.548, -3.308, -2.548, -3.458, -2.727, -2.466, -3.171, -2.932, -3.171, -3.171], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Prostate,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": -0.004400000000000001, ""q1"": -1.2585, ""q3"": 1.0394999999999999, ""whislo"": -4.293, ""whishi"": 2.984, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Prostate,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-0.8599, -0.2845, -1.994, -1.355, -1.552, -0.8599, 0.099, -0.8084, -0.1828, 0.7664, -1.639, -0.7588, -0.2845, -1.318, -1.884, -1.431, -4.293, -1.431, -1.831, -0.9406, -2.727], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
GTEX,GTEX Prostate,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -3.816, ""q1"": -9.966, ""q3"": -3.01825, ""whislo"": -9.966, ""whishi"": -0.6873, ""fliers"": [], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Prostate,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -2.727, ""q1"": -4.035, ""q3"": -1.732, ""whislo"": -5.574, ""whishi"": -0.1828, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Salivary Gland,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": 4.098, ""q1"": 3.7125000000000004, ""q3"": 4.568, ""whislo"": 2.934, ""whishi"": 5.383, ""fliers"": [1.915, 2.111], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Salivary Gland,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -0.0425, ""q1"": -1.2654999999999998, ""q3"": 0.59065, ""whislo"": -2.635, ""whishi"": 1.674, ""fliers"": [-9.966, -9.966, -5.574], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Salivary Gland,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -3.047, ""q1"": -9.966, ""q3"": -2.315, ""whislo"": -9.966, ""whishi"": -1.086, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
